City,Daylight,zipcode,HUC_NAME,savings,HUC_CODE,State,Longitude,HUC250K_ID,pop,Latitude,Timezone,GEOID10
Portsmouth,,210,,,,NH,-71.013202,,,43.005895,,
Portsmouth,,211,,,,NH,-71.013202,,,43.005895,,
Portsmouth,,212,,,,NH,-71.013202,,,43.005895,,
Portsmouth,,213,,,,NH,-71.013202,,,43.005895,,
Portsmouth,,214,,,,NH,-71.013202,,,43.005895,,
Portsmouth,,215,,,,NH,-71.013202,,,43.005895,,
Holtsville,,501,,,,NY,-72.637078,,,40.922326,,
Holtsville,,544,,,,NY,-72.637078,,,40.922326,,
Adjuntas,,601,,,,PR,-66.74947,,,18.180103,,00601
Aguada,,602,,,,PR,-67.18024,,,18.363285,,00602
Aguadilla,,603,,,,PR,-67.13422,,,18.448619,,00603
Aguadilla,,604,,,,PR,-67.13699,,,18.498987,,
Aguadilla,,605,,,,PR,-67.141486,,,18.465162,,
Maricao,,606,,,,PR,-66.9588,,,18.182151,,00606
Aguas Buenas,,607,,,,PR,-66.104657,,,18.256995,,
Aibonito,,609,,,,PR,-66.273278,,,18.142002,,
Anasco,,610,,,,PR,-67.13604,,,18.288319,,00610
Angeles,,611,,,,PR,-66.80217,,,18.279531,,
Arecibo,,612,,,,PR,-66.69879,,,18.449732,,00612
Arecibo,,613,,,,PR,-66.732732,,,18.458093,,
Arecibo,,614,,,,PR,-66.674506,,,18.429675,,
Arroyo,,615,,,,PR,-66.061459,,,17.96977,,
Bajadero,,616,,,,PR,-66.67669,,,18.426748,,00616
Barceloneta,,617,,,,PR,-66.55575,,,18.455499,,00617
Barranquitas,,618,,,,PR,-66.305827,,,18.185463,,
Boqueron,,622,,,,PR,-67.16745,,,18.003125,,00622
Cabo Rojo,,623,,,,PR,-67.15222,,,18.08643,,00623
Penuelas,,624,,,,PR,-66.72602,,,18.055399,,00624
Caguas,,625,,,,PR,-66.039087,,,18.232109,,
Caguas,,626,,,,PR,-66.037318,,,18.235003,,
Camuy,,627,,,,PR,-66.85644,,,18.435246,,00627
Castaner,,631,,,,PR,-66.85174,,,18.186739,,00631
Cayey,,633,,,,PR,-66.183467,,,18.194527,,
Cayey,,634,,,,PR,-66.177083,,,18.111528,,
Ceiba,,635,,,,PR,-65.646529,,,18.262902,,
Rosario,,636,,,,PR,-67.039706,,,18.113284,,
Sabana Grande,,637,,,,PR,-66.94864,,,18.073078,,00637
Ciales,,638,,,,PR,-66.49835,,,18.308139,,00638
Cidra,,639,,,,PR,-66.158728,,,18.176094,,
Coamo,,640,,,,PR,-66.359104,,,18.077197,,
Utuado,,641,,,,PR,-66.70519,,,18.268896,,00641
Corozal,,643,,,,PR,-66.315194,,,18.341254,,
Coto Laurel,,644,,,,PR,-66.55218,,,18.049577,,
Culebra,,645,,,,PR,-65.304732,,,18.308508,,
Dorado,,646,,,,PR,-66.27689,,,18.442798,,00646
Ensenada,,647,,,,PR,-66.93993,,,17.964529,,00647
Fajardo,,648,,,,PR,-65.656182,,,18.333038,,
Florida,,650,,,,PR,-66.56773,,,18.363331,,00650
Garrochales,,652,,,,PR,-66.61217,,,18.457453,,00652
Guanica,,653,,,,PR,-66.90097,,,17.992112,,00653
Jobos,,654,,,,PR,-66.117219,,,17.979518,,
Olimpo,,655,,,,PR,-66.116795,,,17.976371,,
Guayanilla,,656,,,,PR,-66.79168,,,18.038866,,00656
Gurabo,,658,,,,PR,-65.973605,,,18.254137,,
